id_tweet,username,text,date,url,reply_count,retweet_count,like_count,quote_count
1143610563613773800,pdt_nacional,"3 - Se em 2010 o que vi de perto foram escolas esquecidas, o que estou vendo agora é pior: são escolas fechadas. Como se educação não fosse direito humano e responsabilidade pública. Confira o artigo completo no @JornalOGlobo: https://t.co/sRaC42b1Ha #PDT @KatiaAbreu",2019-06-25T20:03:00Z,https://twitter.com/PDT_Nacional/status/1143610563613773824,1,3,18,0
1143610311930286100,pdt_nacional,"2 - Fechar uma escola é bloquear a porteira do desenvolvimento, mas a alegação é a necessidade de fazer economia. É justo economizar limitando o futuro de crianças e adolescentes? Eu digo não! Educação não é gasto, é investimento. #PDT #PDToposiçãopropositiva @KatiaAbreu",2019-06-25T20:02:00Z,https://twitter.com/PDT_Nacional/status/1143610311930286080,0,3,12,0
1143610060859461600,pdt_nacional,"1 - No Norte e no Nordeste, alunos ficam até três horas na ida e mais três na volta, passando fome e sede. Na prática, os alunos transferidos para ônibus escolares passam mais tempo no caminho do que nas salas de aula. #PDT #PDToposiçãopropositiva @KatiaAbreu",2019-06-25T20:01:00Z,https://twitter.com/PDT_Nacional/status/1143610060859461634,2,5,25,0
1.1417790065488241e+18,pdt_nacional,"Um sim a favor da vida! Conseguimos aprovar, na terça(18), a suspensão do decreto que facilitava o porte de armas no Brasil. A senadora @KatiaAbreu representou o #PDT contra essa iniciativa absurda.Só a Educação e o desenvolvimento trarão a verdadeira paz! #PDToposiçãopropositiva https://t.co/rQQV0yDh1H",2019-06-20T18:45:03Z,https://twitter.com/PDT_Nacional/status/1141779006548824067,7,24,144,2
1234478019483447300,sisispsp,@KatiaAbreu Vc deveria se vacinar de vergonha na cara pra ver se melhora sua cara de Pau . Quais os insanos que votaram em ti ?,2020-03-02T13:57:49Z,https://twitter.com/Sisispsp/status/1234478019483447297,1,1,21,1
1125812342770536400,sisispsp,"@SuperMinion17 @KatiaAbreu Kkkkkkkklugara de larápios é junto com chefão ,se atente  coisinha .",2019-05-07T17:19:13Z,https://twitter.com/Sisispsp/status/1125812342770536449,0,0,33,0
1.0918094050315919e+18,sisispsp,@quotes_gn @KatiaAbreu https://t.co/N4yWpIQzKH,2019-02-02T21:23:41Z,https://twitter.com/Sisispsp/status/1091809405031591938,1,0,4,0
1091806663617794e3,sisispsp,@quotes_gn @KatiaAbreu https://t.co/JRR4HV5v5w,2019-02-02T21:12:48Z,https://twitter.com/Sisispsp/status/1091806663617794049,1,0,3,0
1091805716367765500,sisispsp,@quotes_gn @KatiaAbreu https://t.co/BqbFyZrfz0,2019-02-02T21:09:02Z,https://twitter.com/Sisispsp/status/1091805716367765510,1,0,4,0
1091639046705688600,sisispsp,@KatiaAbreu Não vale o que fala. https://t.co/gtqbIRQjYT,2019-02-02T10:06:45Z,https://twitter.com/Sisispsp/status/1091639046705688577,1,2,13,0
1095660188080705500,pastorliomar,"@AltairBatistad3 @KatiaAbreu Mais claro que isso, impossível  !!!",2019-02-13T12:25:19Z,https://twitter.com/PastorLiomar/status/1095660188080705536,0,0,0,0
